name,neighborhood,current_price,original_price,reviews_desc,num_reviews,breakfast,free_cancellation,rooms_left,grade,fully_refundable,reserve_now_pay_later,price_after_taxes,checkin_date,checkout_date,TTT,LOS,Snapshot Date,order
N/A,N/A,N/A,N/A,N/A,N/A,No,No,,N/A,No,No,N/A,08/07/2024,09/07/2024,1,1,07/07/2024,1
Hyatt House Jersey City,Jersey City,$227,$252,Excellent,"1,306",Breakfast included,No,8,8.68,No,No,265 total,08/07/2024,09/07/2024,1,1,07/07/2024,2
Margaritaville Resort Times Square,Theater District,$185,N/A,Wonderful,"3,670",No,No,,9.29,No,No,274 total,08/07/2024,09/07/2024,1,1,07/07/2024,3
Penny Williamsburg,Williamsburg,$220,$275,Exceptional,521,No,Yes,1,9.69,Yes,Yes,292 total,08/07/2024,09/07/2024,1,1,07/07/2024,4
"PUBLIC, an Ian Schrager hotel",New York,$329,N/A,Very,"2,625",No,No,,8.28,No,No,427 total,08/07/2024,09/07/2024,1,1,07/07/2024,5
Radio City Apartments,Theater District,$127,$142,Excellent,"3,586",No,No,2,8.88,No,No,150 total,08/07/2024,09/07/2024,1,1,07/07/2024,6
The Washington by LuxUrban,New York,$171,N/A,Very,"1,016",No,Yes,,8.28,Yes,No,199 total,08/07/2024,09/07/2024,1,1,07/07/2024,7
Hotel St. James,Theater District,$161,$179,Excellent,"4,415",No,No,,8.68,No,No,188 total,08/07/2024,09/07/2024,1,1,07/07/2024,8
Courtyard New York Manhattan/Times Square West,New York,$207,$259,Wonderful,"1,015",No,No,,9.09,No,No,241 total,08/07/2024,09/07/2024,1,1,07/07/2024,9
45 Times Square Hotel,Theater District,$198,N/A,Excellent,"1,273",No,No,,8.68,No,No,248 total,08/07/2024,09/07/2024,1,1,07/07/2024,10
"Holiday Inn New York City - Times Square, an IHG Hotel",New York,$165,N/A,Very,"1,457",No,No,3,8.28,No,No,193 total,08/07/2024,09/07/2024,1,1,07/07/2024,11
Four Points by Sheraton Midtown-Times Square,New York,$152,$179,Excellent,"1,331",No,No,5,8.88,No,No,178 total,08/07/2024,09/07/2024,1,1,07/07/2024,12
Pod Times Square,New York,$129,N/A,Excellent,"4,189",No,No,,8.88,No,No,174 total,08/07/2024,09/07/2024,1,1,07/07/2024,13
Hotel 32 32,New York,$152,$202,Very,"1,645",No,No,7,8.08,No,No,212 total,08/07/2024,09/07/2024,1,1,07/07/2024,14
Hotel Stanford,New York,$202,$214,Excellent,101,No,No,,8.88,No,No,236 total,08/07/2024,09/07/2024,1,1,07/07/2024,15
"The Cloud One New York-Downtown, by the Motel One Group",New York,$169,N/A,Excellent,629,No,No,,8.88,No,No,197 total,08/07/2024,09/07/2024,1,1,07/07/2024,16
Moxy NYC Downtown,New York,$178,$209,Excellent,"1,025",No,No,5,8.68,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,17
Best Western Premier Empire State Hotel,New York,$175,N/A,Wonderful,691,No,No,1,9.09,No,No,204 total,08/07/2024,09/07/2024,1,1,07/07/2024,18
Hotel Belleclaire,Upper West Side,$159,N/A,Wonderful,"1,715",Breakfast included,Yes,,9.09,Yes,Yes,219 total,08/07/2024,09/07/2024,1,1,07/07/2024,19
citizenM New York Times Square,Theater District,$209,N/A,Wonderful,"1,084",No,Yes,8,9.29,Yes,Yes,243 total,08/07/2024,09/07/2024,1,1,07/07/2024,20
Little Charlie Hotel,New York,$172,$180,Wonderful,430,Breakfast included,Yes,,9.29,Yes,No,201 total,08/07/2024,09/07/2024,1,1,07/07/2024,21
Broadway Plaza Hotel,New York,$224,$249,Wonderful,"1,530",No,No,1,9.29,No,No,272 total,08/07/2024,09/07/2024,1,1,07/07/2024,22
Hotel 32 32,New York,$152,$202,Very,"1,645",No,No,7,8.08,No,No,212 total,08/07/2024,09/07/2024,1,1,07/07/2024,23
"Club Quarters, Times Square - Midtown",Central New York City,$215,N/A,Excellent,"2,641",No,Yes,,8.68,Yes,Yes,279 total,08/07/2024,09/07/2024,1,1,07/07/2024,24
Hilton Garden Inn New York Times Square South,New York,$229,N/A,Wonderful,"3,179",No,Yes,1,9.09,Yes,Yes,266 total,08/07/2024,09/07/2024,1,1,07/07/2024,25
World Center Hotel,New York,$199,N/A,Excellent,"2,053",No,Yes,,8.88,Yes,Yes,261 total,08/07/2024,09/07/2024,1,1,07/07/2024,26
The Flat NYC,New York,$140,$175,Excellent,294,No,No,1,8.68,No,No,164 total,08/07/2024,09/07/2024,1,1,07/07/2024,27
Chelsea Inn,New York,$143,N/A,Very,"1,008",No,No,,8.08,No,No,190 total,08/07/2024,09/07/2024,1,1,07/07/2024,28
Aura Hotel Times Square,Theater District,$175,$219,Excellent,78,No,Yes,,8.88,Yes,Yes,240 total,08/07/2024,09/07/2024,1,1,07/07/2024,29
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,New York,$169,N/A,Excellent,"1,670",No,Yes,,8.88,Yes,Yes,197 total,08/07/2024,09/07/2024,1,1,07/07/2024,30
"Martinique New York on Broadway, Curio Collection by Hilton",New York,$233,N/A,Excellent,"1,176",No,No,,8.88,No,No,317 total,08/07/2024,09/07/2024,1,1,07/07/2024,31
Moxy Brooklyn Willamsburg,Williamsburg,$300,N/A,Excellent,428,No,No,,8.88,No,No,373 total,08/07/2024,09/07/2024,1,1,07/07/2024,32
Soho 54,New York,$151,$159,Good,"1,046",No,No,,7.47,No,No,212 total,08/07/2024,09/07/2024,1,1,07/07/2024,33
Four Points By Sheraton New York Downtown,New York,$139,N/A,Very,"1,579",No,No,5,8.08,No,No,163 total,08/07/2024,09/07/2024,1,1,07/07/2024,34
Pod 51,New York,$125,$215,Very,"1,339",No,No,,8.08,No,No,170 total,08/07/2024,09/07/2024,1,1,07/07/2024,35
AC Hotel by Marriott New York Downtown,New York,$199,N/A,Wonderful,"1,005",No,No,5,9.09,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,36
Hyatt Place New York/Chelsea,Chelsea,$179,$199,Very,"1,366",Breakfast included,No,2,8.28,No,No,209 total,08/07/2024,09/07/2024,1,1,07/07/2024,37
YOTEL New York Times Square,New York,$139,$231,Good,"2,303",No,No,,7.47,No,No,208 total,08/07/2024,09/07/2024,1,1,07/07/2024,38
Soho Grand Hotel,SoHo,$267,$349,Excellent,"1,007",No,No,,8.88,No,No,350 total,08/07/2024,09/07/2024,1,1,07/07/2024,39
Radio Hotel,New York,$145,N/A,Excellent,"1,768",No,No,,8.68,No,No,170 total,08/07/2024,09/07/2024,1,1,07/07/2024,40
"Club Quarters Hotel, Grand Central",New York,$255,N/A,Excellent,"2,007",No,Yes,,8.68,Yes,Yes,325 total,08/07/2024,09/07/2024,1,1,07/07/2024,41
Courtyard by Marriott New York Downtown Manhattan/Financial District,New York,$149,N/A,Good,867,No,No,5,7.87,No,No,174 total,08/07/2024,09/07/2024,1,1,07/07/2024,42
JG Sohotel,SoHo,$178,N/A,Excellent,242,No,No,,8.68,No,No,230 total,08/07/2024,09/07/2024,1,1,07/07/2024,43
City Club Hotel,Central New York City,$161,$189,Good,"1,350",Breakfast included,Yes,4,7.67,Yes,Yes,213 total,08/07/2024,09/07/2024,1,1,07/07/2024,44
Wingate by Wyndham New York Midtown South/5th Ave,New York,$202,$229,Excellent,"1,002",Breakfast included,No,2,8.68,No,No,235 total,08/07/2024,09/07/2024,1,1,07/07/2024,45
DoubleTree by Hilton New York Downtown,New York,$179,N/A,Good,"1,651",No,Yes,,7.87,Yes,Yes,209 total,08/07/2024,09/07/2024,1,1,07/07/2024,46
Truss Hotel Times Square,New York,$179,$189,Very,"1,603",No,No,,8.28,No,No,209 total,08/07/2024,09/07/2024,1,1,07/07/2024,47
Virgin Hotels New York City,New York,$261,$275,Excellent,"1,519",No,No,,8.88,No,No,342 total,08/07/2024,09/07/2024,1,1,07/07/2024,48
Chelsea Savoy Hotel,Chelsea,$217,$255,Excellent,"1,966",Breakfast included,Yes,,8.68,Yes,Yes,252 total,08/07/2024,09/07/2024,1,1,07/07/2024,49
The Hotel Chelsea,Chelsea,$369,$410,Exceptional,709,No,Yes,4,9.89,Yes,Yes,427 total,08/07/2024,09/07/2024,1,1,07/07/2024,50
"Candlewood Suites New York City-Times Square, an IHG Hotel",New York,$172,$229,Very,"1,010",No,No,,8.08,No,No,218 total,08/07/2024,09/07/2024,1,1,07/07/2024,51
Hyatt Place New York City/Times Square,New York,$185,$205,Very,"1,564",Breakfast included,No,3,8.08,No,No,215 total,08/07/2024,09/07/2024,1,1,07/07/2024,52
citizenM New York Bowery,New York,$249,N/A,Wonderful,"1,149",No,Yes,,9.29,Yes,Yes,289 total,08/07/2024,09/07/2024,1,1,07/07/2024,53
"Club Quarters Hotel, World Trade Center",New York,$199,N/A,Excellent,"1,420",No,Yes,,8.68,Yes,Yes,261 total,08/07/2024,09/07/2024,1,1,07/07/2024,54
"The Jewel Hotel, New York",Central New York City,$269,N/A,Wonderful,"2,046",No,Yes,,9.29,Yes,Yes,341 total,08/07/2024,09/07/2024,1,1,07/07/2024,55
Tuscany by LuxUrban,New York,$173,$187,Very,"1,011",No,Yes,,8.48,Yes,No,203 total,08/07/2024,09/07/2024,1,1,07/07/2024,56
Park Terrace Hotel,Central New York City,$299,N/A,Exceptional,"1,318",No,Yes,,9.49,Yes,Yes,387 total,08/07/2024,09/07/2024,1,1,07/07/2024,57
Madison LES Hotel,New York,$159,N/A,Very,725,Breakfast included,No,,8.08,No,No,209 total,08/07/2024,09/07/2024,1,1,07/07/2024,58
Virgin Hotels New York City,New York,$261,$275,Excellent,"1,519",No,No,,8.88,No,No,342 total,08/07/2024,09/07/2024,1,1,07/07/2024,59
New York LaGuardia Airport Marriott,Queens,$259,N/A,Excellent,"1,006",No,Yes,1,8.88,Yes,Yes,301 total,08/07/2024,09/07/2024,1,1,07/07/2024,60
Courtyard by Marriott New York World Trade Center Area,New York,$199,N/A,Excellent,555,No,No,5,8.88,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,61
"Hotel 50 Bowery, part of JdV by Hyatt",New York,$167,$185,Wonderful,"1,008",No,No,,9.09,No,No,230 total,08/07/2024,09/07/2024,1,1,07/07/2024,62
Delta Hotels by Marriott New York Times Square,New York,$155,N/A,Good,527,No,No,5,7.87,No,No,183 total,08/07/2024,09/07/2024,1,1,07/07/2024,63
Orchard Street Hotel,New York,$125,$139,Good,650,No,Yes,,7.27,Yes,No,162 total,08/07/2024,09/07/2024,1,1,07/07/2024,64
The New Yorker A Wyndham Hotel,New York,$177,N/A,Very,"4,662",No,No,,8.28,No,No,239 total,08/07/2024,09/07/2024,1,1,07/07/2024,65
Ameritania Hotel at Times Square,Theater District,$191,N/A,Excellent,"3,140",No,No,,8.68,No,No,246 total,08/07/2024,09/07/2024,1,1,07/07/2024,66
Untitled at 3 Freeman Alley,New York,$198,$202,Wonderful,265,Breakfast included,No,,9.29,No,No,254 total,08/07/2024,09/07/2024,1,1,07/07/2024,67
The Lucerne Hotel,Upper West Side,$229,N/A,Wonderful,"1,633",No,No,,9.29,No,No,266 total,08/07/2024,09/07/2024,1,1,07/07/2024,68
Margaritaville Resort Times Square,Theater District,$185,N/A,Wonderful,"3,670",No,No,2,9.29,No,No,274 total,08/07/2024,09/07/2024,1,1,07/07/2024,69
The Hotel Chelsea,Chelsea,$369,$410,Exceptional,709,No,Yes,4,9.89,Yes,Yes,427 total,08/07/2024,09/07/2024,1,1,07/07/2024,70
"Holiday Inn NYC - Lower East Side, an IHG Hotel",New York,$159,N/A,Excellent,"1,003",No,No,2,8.68,No,No,186 total,08/07/2024,09/07/2024,1,1,07/07/2024,71
The Ridge Hotel,New York,$168,$176,Very,"1,002",No,No,,8.08,No,No,219 total,08/07/2024,09/07/2024,1,1,07/07/2024,72
Citadines Connect Fifth Avenue New York,Central New York City,$153,$180,Very,"1,065",Breakfast included,Yes,,8.08,Yes,Yes,204 total,08/07/2024,09/07/2024,1,1,07/07/2024,73
Hotel Beacon,Upper West Side,$307,$439,Wonderful,"1,045",No,No,,9.29,No,No,358 total,08/07/2024,09/07/2024,1,1,07/07/2024,74
The FIDI Hotel,New York,$170,$179,Excellent,421,No,No,,8.88,No,No,234 total,08/07/2024,09/07/2024,1,1,07/07/2024,75
Millennium Downtown New York,New York,$179,N/A,Good,"2,353",No,Yes,,7.47,Yes,Yes,249 total,08/07/2024,09/07/2024,1,1,07/07/2024,76
DoubleTree by Hilton New York Times Square West,New York,$169,N/A,Good,"1,328",No,Yes,,7.27,Yes,Yes,197 total,08/07/2024,09/07/2024,1,1,07/07/2024,77
The Gregorian,New York,$179,N/A,Wonderful,"1,272",No,No,,9.29,No,No,249 total,08/07/2024,09/07/2024,1,1,07/07/2024,78
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",New York,$169,N/A,Wonderful,891,No,No,,9.09,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,79
Arlo Midtown,New York,$259,N/A,Wonderful,"5,386",No,No,,9.29,No,No,335 total,08/07/2024,09/07/2024,1,1,07/07/2024,80
Hotel Riu Plaza New York Times Square,New York,$269,$414,Wonderful,"3,593",Breakfast included,No,,9.09,No,No,345 total,08/07/2024,09/07/2024,1,1,07/07/2024,81
Sheraton Tribeca New York Hotel,New York,$239,N/A,Very,"1,011",No,No,5,8.48,No,No,278 total,08/07/2024,09/07/2024,1,1,07/07/2024,82
Aloft Manhattan Downtown - Financial District,New York,$149,N/A,Very,"1,005",No,No,1,8.08,No,No,174 total,08/07/2024,09/07/2024,1,1,07/07/2024,83
La Quinta Inn & Suites by Wyndham Times Square South,New York,$179,$199,Excellent,"1,003",Breakfast included,No,,8.88,No,No,231 total,08/07/2024,09/07/2024,1,1,07/07/2024,84
The Lex NYC,New York,$149,N/A,Very,"1,001",Breakfast included,No,,8.48,No,No,208 total,08/07/2024,09/07/2024,1,1,07/07/2024,85
Hotel Edison Times Square,Theater District,$155,N/A,Very,"4,297",No,Yes,,8.08,Yes,Yes,227 total,08/07/2024,09/07/2024,1,1,07/07/2024,86
Archer Hotel New York,Central New York City,$279,N/A,Wonderful,"1,012",No,No,1,9.29,No,No,324 total,08/07/2024,09/07/2024,1,1,07/07/2024,87
Fairfield Inn New York Manhattan/Financial District,New York,$149,N/A,Very,"1,018",Breakfast included,No,1,8.08,No,No,174 total,08/07/2024,09/07/2024,1,1,07/07/2024,88
Executive Hotel Le Soleil New York,New York,$239,N/A,Wonderful,"2,294",No,No,,9.09,No,No,300 total,08/07/2024,09/07/2024,1,1,07/07/2024,89
Tru By Hilton Brooklyn,Brooklyn,$199,N/A,Very,138,Breakfast included,No,2,8.48,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,90
"voco Fiorello - LaGuardia East, an IHG Hotel",Queens,$259,N/A,Very,273,No,No,1,8.48,No,No,301 total,08/07/2024,09/07/2024,1,1,07/07/2024,91
Hotel 27 by LuxUrban,New York,$176,N/A,Good,442,No,Yes,,7.47,Yes,No,205 total,08/07/2024,09/07/2024,1,1,07/07/2024,92
Pod 39,New York,$189,N/A,Excellent,"1,533",No,No,,8.88,No,No,243 total,08/07/2024,09/07/2024,1,1,07/07/2024,93
Hyatt Centric Wall Street New York,New York,$179,$199,Excellent,"1,010",No,No,1,8.88,No,No,249 total,08/07/2024,09/07/2024,1,1,07/07/2024,94
Hampton Inn Manhattan/Times Square Central,Theater District,$239,N/A,Wonderful,"1,639",Breakfast included,No,,9.09,No,No,278 total,08/07/2024,09/07/2024,1,1,07/07/2024,95
Hotel Mimosa,New York,$163,$176,Excellent,462,No,No,,8.68,No,No,190 total,08/07/2024,09/07/2024,1,1,07/07/2024,96
The Wall Street Hotel,New York,$495,N/A,Exceptional,264,No,No,,9.89,No,No,572 total,08/07/2024,09/07/2024,1,1,07/07/2024,97
Paramount Times Square,Theater District,$149,N/A,Good,"2,688",No,No,2,7.07,No,No,215 total,08/07/2024,09/07/2024,1,1,07/07/2024,98
"Candlewood Suites New York City-Times Square, an IHG Hotel",New York,$172,$229,Very,"1,010",No,No,,8.08,No,No,218 total,08/07/2024,09/07/2024,1,1,07/07/2024,99
DoubleTree by Hilton Hotel New York City - Chelsea,Chelsea,$199,N/A,Good,"1,055",No,Yes,,7.87,Yes,Yes,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,100
Empire Hotel,New York,$198,N/A,Good,"3,745",No,No,,7.67,No,No,276 total,08/07/2024,09/07/2024,1,1,07/07/2024,101
Carnegie Hotel,New York,$229,N/A,Exceptional,"1,005",No,Yes,,9.49,Yes,Yes,295 total,08/07/2024,09/07/2024,1,1,07/07/2024,102
Doubletree by Hilton New York Times Square South,New York,$279,N/A,Excellent,"3,784",No,Yes,,8.88,Yes,Yes,324 total,08/07/2024,09/07/2024,1,1,07/07/2024,103
Doxie Hotel,New York,$139,N/A,Good,765,No,No,,7.27,No,No,163 total,08/07/2024,09/07/2024,1,1,07/07/2024,104
Hotel Boutique at Grand Central,New York,$255,N/A,Excellent,"1,075",No,Yes,,8.68,Yes,Yes,325 total,08/07/2024,09/07/2024,1,1,07/07/2024,105
INNSiDE by Meliá New York Nomad,Chelsea,$206,N/A,Wonderful,"2,024",No,No,3,9.09,No,No,286 total,08/07/2024,09/07/2024,1,1,07/07/2024,106
Hotel Mulberry,New York,$209,N/A,Wonderful,"1,001",No,Yes,2,9.09,Yes,No,243 total,08/07/2024,09/07/2024,1,1,07/07/2024,107
Washington Square Hotel,Greenwich Village,$251,N/A,Wonderful,"1,008",No,No,3,9.09,No,No,292 total,08/07/2024,09/07/2024,1,1,07/07/2024,108
"Dream Midtown, by Hyatt",New York,$185,N/A,Very,"1,226",No,No,,8.08,No,No,250 total,08/07/2024,09/07/2024,1,1,07/07/2024,109
The Maritime Hotel,New York,$289,$321,Exceptional,"1,008",Breakfast included,Yes,1,9.49,Yes,Yes,335 total,08/07/2024,09/07/2024,1,1,07/07/2024,110
Hilton Garden Inn New York/Midtown Park Ave,New York,$240,N/A,Very,"1,010",No,No,1,8.48,No,No,279 total,08/07/2024,09/07/2024,1,1,07/07/2024,111
Pestana CR7 Times Square,New York,$183,N/A,Excellent,681,No,No,4,8.88,No,No,241 total,08/07/2024,09/07/2024,1,1,07/07/2024,112
Courtyard New York Manhattan/ Midtown East,New York,$317,$648,Excellent,"2,030",No,No,5,8.88,No,No,368 total,08/07/2024,09/07/2024,1,1,07/07/2024,113
Fairfield Inn & Suites New York Manhattan / Central Park,New York,$239,N/A,Very,"1,005",No,No,5,8.48,No,No,278 total,08/07/2024,09/07/2024,1,1,07/07/2024,114
Sanctuary Hotel New York,Theater District,$219,$243,Excellent,"1,007",No,No,2,8.68,No,No,280 total,08/07/2024,09/07/2024,1,1,07/07/2024,115
The Solita Soho Hotel,New York,$146,$159,Good,"1,005",No,Yes,,7.87,Yes,No,195 total,08/07/2024,09/07/2024,1,1,07/07/2024,116
Hard Rock Hotel New York,Theater District,$359,N/A,Exceptional,"2,662",No,Yes,,9.49,Yes,Yes,461 total,08/07/2024,09/07/2024,1,1,07/07/2024,117
Hotel Hendricks,Central New York City,$176,N/A,Very,"1,066",No,No,,8.48,No,No,248 total,08/07/2024,09/07/2024,1,1,07/07/2024,118
Walker Hotel Tribeca,New York,$209,N/A,Excellent,641,No,Yes,,8.68,Yes,Yes,278 total,08/07/2024,09/07/2024,1,1,07/07/2024,119
Fitzpatrick Grand Central,New York,$218,N/A,Wonderful,"1,006",No,Yes,6,9.09,Yes,Yes,282 total,08/07/2024,09/07/2024,1,1,07/07/2024,120
Arlo SoHo,New York,$249,N/A,Excellent,"1,377",No,Yes,,8.88,Yes,Yes,324 total,08/07/2024,09/07/2024,1,1,07/07/2024,121
Moxy NYC Lower East Side,New York,$199,N/A,Excellent,990,No,No,5,8.88,No,No,262 total,08/07/2024,09/07/2024,1,1,07/07/2024,122
Renaissance New York Midtown Hotel,New York,$299,N/A,Wonderful,"1,006",No,No,5,9.29,No,No,347 total,08/07/2024,09/07/2024,1,1,07/07/2024,123
70 Park Avenue,New York,$219,N/A,Excellent,"1,004",No,No,7,8.88,No,No,295 total,08/07/2024,09/07/2024,1,1,07/07/2024,124
"The Beekman, A Thompson Hotel, by Hyatt",New York,$361,$425,Exceptional,"1,000",No,No,4,9.49,No,No,464 total,08/07/2024,09/07/2024,1,1,07/07/2024,125
The Belvedere Hotel,New York,$209,N/A,Excellent,"3,542",No,Yes,,8.68,Yes,Yes,268 total,08/07/2024,09/07/2024,1,1,07/07/2024,126
45 Times Square Hotel,Theater District,$198,N/A,Excellent,"1,273",No,No,,8.68,No,No,248 total,08/07/2024,09/07/2024,1,1,07/07/2024,127
Hilton Garden Inn New York/West 35th Street,New York,$254,N/A,Wonderful,"2,110",No,No,,9.09,No,No,295 total,08/07/2024,09/07/2024,1,1,07/07/2024,128
"Staypineapple, An Artful Hotel, Midtown",New York,$193,$222,Wonderful,"1,002",No,No,,9.29,No,No,260 total,08/07/2024,09/07/2024,1,1,07/07/2024,129
Aliz Hotel Times Square,New York,$170,$179,Very,"1,063",No,Yes,,8.08,Yes,No,234 total,08/07/2024,09/07/2024,1,1,07/07/2024,130
Courtyard by Marriott New York Manhattan/Upper East Side,New York,$219,N/A,Very,"1,147",No,No,5,8.28,No,No,255 total,08/07/2024,09/07/2024,1,1,07/07/2024,131
The Manhattan Club,New York,$269,N/A,Wonderful,"1,008",No,No,,9.09,No,No,314 total,08/07/2024,09/07/2024,1,1,07/07/2024,132
"33 Hotel, New York City, Seaport",New York,$314,$369,Wonderful,470,No,No,,9.09,No,No,404 total,08/07/2024,09/07/2024,1,1,07/07/2024,133
The Hotel @ Fifth Avenue,New York,$162,$181,Good,"1,222",No,Yes,5,7.87,Yes,No,215 total,08/07/2024,09/07/2024,1,1,07/07/2024,134
"Hotel Indigo Lower East Side New York, an IHG Hotel",New York,$189,N/A,Very,"1,015",No,No,1,8.28,No,No,262 total,08/07/2024,09/07/2024,1,1,07/07/2024,135
The Nolitan,New York,$180,$200,Excellent,"1,005",No,No,,8.88,No,No,250 total,08/07/2024,09/07/2024,1,1,07/07/2024,136
Millennium Hilton New York One UN Plaza,New York,$259,N/A,Very,"1,376",No,No,,8.28,No,No,341 total,08/07/2024,09/07/2024,1,1,07/07/2024,137
Kixby,New York,$219,N/A,Wonderful,"1,015",No,No,,9.29,No,No,289 total,08/07/2024,09/07/2024,1,1,07/07/2024,138
The Frederick Hotel,New York,$209,N/A,Excellent,"1,005",No,Yes,,8.88,Yes,Yes,285 total,08/07/2024,09/07/2024,1,1,07/07/2024,139
Arlo NoMad,New York,$259,N/A,Excellent,"1,329",No,Yes,,8.68,Yes,Yes,341 total,08/07/2024,09/07/2024,1,1,07/07/2024,140
Fitzpatrick Manhattan Hotel,New York,$248,N/A,Wonderful,"1,006",No,Yes,3,9.09,Yes,Yes,317 total,08/07/2024,09/07/2024,1,1,07/07/2024,141
Grayson Hotel in the Unbound Collection by Hyatt,Central New York City,$239,$266,Wonderful,327,No,No,,9.29,No,No,313 total,08/07/2024,09/07/2024,1,1,07/07/2024,142
"The Draper New York, Tapestry Collection by Hilton",New York,$219,N/A,Excellent,727,No,No,,8.88,No,No,255 total,08/07/2024,09/07/2024,1,1,07/07/2024,143
Hyatt Grand Central New York,New York,$280,$329,Very,"3,749",No,No,6,8.08,No,No,370 total,08/07/2024,09/07/2024,1,1,07/07/2024,144
Freehand New York,New York,$190,$199,Very,"1,066",No,No,,8.28,No,No,262 total,08/07/2024,09/07/2024,1,1,07/07/2024,145
3 West Club,Central New York City,$234,$239,Wonderful,"1,009",No,Yes,,9.29,Yes,No,273 total,08/07/2024,09/07/2024,1,1,07/07/2024,146
The Herald by LuxUrban,New York,$204,N/A,Very,234,No,Yes,,8.08,Yes,No,237 total,08/07/2024,09/07/2024,1,1,07/07/2024,147
Heritage Hotel,New York,$193,$212,Very,"1,249",No,No,,8.08,No,No,226 total,08/07/2024,09/07/2024,1,1,07/07/2024,148
The Historic Blue Moon Hotel - NYC,New York,$192,N/A,Good,71,No,No,,7.87,No,No,258 total,08/07/2024,09/07/2024,1,1,07/07/2024,149
Sheraton New York Times Square Hotel,Theater District,$229,N/A,Good,"2,270",No,No,5,7.87,No,No,296 total,08/07/2024,09/07/2024,1,1,07/07/2024,150
Motto By Hilton New York City Times Square,Theater District,$179,N/A,Wonderful,902,No,Yes,1,9.09,Yes,Yes,243 total,08/07/2024,09/07/2024,1,1,07/07/2024,151
N/A,N/A,N/A,N/A,N/A,N/A,No,No,,N/A,No,No,N/A,08/07/2024,10/07/2024,1,2,07/07/2024,2
Penny Williamsburg,Williamsburg,$226,$282,Exceptional,521,No,Yes,,9.69,Yes,Yes,598 total,08/07/2024,10/07/2024,1,2,07/07/2024,3
"voco Fiorello - LaGuardia East, an IHG Hotel",Queens,$265,$294,Very,273,No,No,,8.48,No,Yes,614 total,08/07/2024,10/07/2024,1,2,07/07/2024,4
Tru By Hilton Brooklyn,Brooklyn,$199,N/A,Very,138,Breakfast included,No,4,8.48,No,Yes,464 total,08/07/2024,10/07/2024,1,2,07/07/2024,5
"PUBLIC, an Ian Schrager hotel",New York,$459,N/A,Very,"2,625",No,No,,8.28,No,Yes,"1,152 total",08/07/2024,10/07/2024,1,2,07/07/2024,6
World Center Hotel,New York,$214,$252,Excellent,"2,053",No,Yes,,8.88,Yes,Yes,556 total,08/07/2024,10/07/2024,1,2,07/07/2024,7
The Washington by LuxUrban,New York,$201,N/A,Very,"1,016",No,Yes,,8.28,Yes,No,468 total,08/07/2024,10/07/2024,1,2,07/07/2024,8
"Club Quarters Hotel, Grand Central",New York,$255,$300,Excellent,"2,008",No,Yes,,8.68,Yes,Yes,650 total,08/07/2024,10/07/2024,1,2,07/07/2024,9
"Club Quarters Hotel, World Trade Center",New York,$214,$252,Excellent,"1,420",No,Yes,,8.68,Yes,Yes,556 total,08/07/2024,10/07/2024,1,2,07/07/2024,10
The Hotel Chelsea,Chelsea,$392,$435,Exceptional,709,No,Yes,1,9.89,Yes,Yes,905 total,08/07/2024,10/07/2024,1,2,07/07/2024,11
Hotel Stanford,New York,$259,$274,Excellent,101,No,No,,8.88,No,No,603 total,08/07/2024,10/07/2024,1,2,07/07/2024,12
"The Cloud One New York-Downtown, by the Motel One Group",New York,$214,N/A,Excellent,629,No,No,,8.88,No,No,498 total,08/07/2024,10/07/2024,1,2,07/07/2024,13
Radio Hotel,New York,$145,N/A,Excellent,"1,768",No,No,,8.68,No,No,340 total,08/07/2024,10/07/2024,1,2,07/07/2024,14
"Candlewood Suites New York City-Times Square, an IHG Hotel",New York,$194,$259,Very,"1,010",No,No,,8.08,No,Yes,491 total,08/07/2024,10/07/2024,1,2,07/07/2024,15
citizenM New York Times Square,Theater District,$279,N/A,Wonderful,"1,085",No,Yes,8,9.29,Yes,Yes,646 total,08/07/2024,10/07/2024,1,2,07/07/2024,16
Hotel Boutique at Grand Central,New York,$255,$300,Excellent,"1,075",No,Yes,,8.68,Yes,Yes,650 total,08/07/2024,10/07/2024,1,2,07/07/2024,17
The Lucerne Hotel,Upper West Side,$247,$274,Wonderful,"1,633",No,No,,9.29,No,No,573 total,08/07/2024,10/07/2024,1,2,07/07/2024,18
Radio City Apartments,Theater District,$224,N/A,Excellent,"3,586",No,No,,8.88,No,Yes,521 total,08/07/2024,10/07/2024,1,2,07/07/2024,19
The Hotel Chelsea,Chelsea,$392,$435,Exceptional,709,No,Yes,1,9.89,Yes,Yes,905 total,08/07/2024,10/07/2024,1,2,07/07/2024,20
Pod Times Square,New York,$199,N/A,Excellent,"4,189",No,No,,8.88,No,Yes,510 total,08/07/2024,10/07/2024,1,2,07/07/2024,21
Hard Rock Hotel New York,Theater District,$394,$464,Exceptional,"2,662",No,No,,9.49,No,No,"1,004 total",08/07/2024,10/07/2024,1,2,07/07/2024,22
